id,name
30112661,"lookup
api
fix
issue
elasticsearch
query
"
30112636,"clearwater
create
blog
"
30112635,"clearwater
improve
readme
"
30112633,"clearwater
make
code
follow
nx
project
structure
"
30112631,"topcoder
fix
build
community
app
"
30112600,"topcoder
project
e
processor
improve
local
setup
"
30112510,"pop
jwt
poc
puml
sequence
diagram
creation
"
30112509,"poseidon
developer
portal
update
backend
unit
test
"
30112524,"setup
robot
framework
environment
execute
mobile
test
case
"
30112477,"rebel
support
"
30112454,"topcoder
connect
new
field
project
template
"
30112320,"bijli
diagram
processing
legend
extraction
"
30112601,"monthly
country
report
fix
chart
border
excel
report
"
30112560,"monthly
country
report
fix
chart
label
font
excel
report
"
30112200,"best
practice
add
search
name
email
owner
application
"
30112185,"best
practice
update
frontend
use
patient
filter
"
30112187,"orientdb
spring
data
plugin
support
default
depth
"
30112119,"best
practice
fix
issue
owner
web
application
"
30112117,"best
practice
add
filter
backend
"
30111812,"topcoder
connect
fix
local
time
calculation
"
30111699,"topcoder
project
service
list
project
pending
invite
"
30111622,"topcoder
connect
fix
draftjs
line
disappear
issue
"
30111546,"hoherberg
ski
school
priority
bug
fix
fix
code
challenge
"
30111486,"fix
docker
script
issue
protractor
test
"
30111432,"topcoder
legacy
project
processor
use
project
service
api
"
30111348,"topcoder
platform
add
es
support
resource
resource
role
legacy
script
"
30111401,"orientdb
spring
data
plugin
add
gremlin
query
support
"
30111356,"topcoder
new
navigation
add
search
feature
exist
nav
"
30111327,"topcoder
fix
challenge
search
query
api
"
30111133,"topcoder
project
service
fix
project
data
db
"
30111108,"pop
jwt
poc
use
node
angular
"
30110986,"lsf
nextflow
refactoring
prize
update
"
30110921,"make
single
webpage
work
edge
"
30110633,"tosca
error
framework
"
30110615,"topcoder
connect
fix
stickable
sidebar
"
30111107,"android
pull
refresh
update
ui
issue
"
30109948,"topcoder
connect
switch
member
role
indicator
"
30109902,"topcoder
connect
project
team
update
ui
"
30109423,"blog
series
create
blog
redis
ui
tool
"
30109422,"readme
series
create
readme
redis
ui
tool
"
30109402,"topcoder
new
navigation
profile
load
"
30109391,"topcoder
fix
build
topcoder
react
lib
"
30109380,"orientdb
spring
data
plugin
edge
query
bug
fix
"
30109319,"topcoder
project
processor
es
populate
user
detail
"
30109255,"topcoder
connect
project
team
update
data
source
"
30109083,"test
execution
defect
retesting
sim
test
environment
"
30109089,"redwood
azure
github
sync
tool
switch
processor
aws
kinesis
"
30108868,"project
teckedin
allow
user
create
content
"
30108867,"topcoder
project
service
mask
invitation
email
"
30108609,"epm
project
chart
feature
challenge
"
30109813,"country
monthly
report
identify
fix
output
excel
file
error
"
30108441,"topcoder
connect
switch
project
template
"
30108163,"topcoder
connect
add
work
hour
"
30107926,"sia
smart
investment
advistor
covariance
calculation
use
partial
portfolio
history
"
30107530,"make
tmo
dev
website
work
ssr
issue
"
30107353,"topcoder
project
service
project
member
trait
"
30106508,"make
website
work
add
polyfill
"
30106195,"topcoder
leaderboard
api
misc
fix
"
30106140,"redwood
bluesource
update
ui
angular
"
30106139,"topcoder
arena
write
swagger
spec
srm
problem
crud
api
"
30106100,"topcoder
apis
zapier
integration
token
"
30106069,"topcoder
react
component
migrate
react
poc
"
30105911,"topcoder
project
service
explain
elastic
search
behavior
"
30105882,"topcoder
connect
avoid
draft
status
"
30105755,"topcoder
project
service
script
update
data
db
"
30105869,"aws
ideation
modularization
strategy
challenge
"
30105642,"topcoder
project
service
get
metadata
e
"
30105640,"topcoder
project
service
get
project
e
"
30105868,"aws
cost
optimization
"
30105575,"fit
frontend
serverless
config
improvement
make
bucket
private
"
30105413,"fit
update
serverless
config
move
lambda
rds
vpc
"
30105871,"identify
cause
error
"
30105407,"topcoder
arena
write
swagger
spec
srm
problem
fetching
api
"
30103371,"nso
power
bi
report
test
"
30105085,"redwood
bluesource
product
api
update
"
30105084,"redwood
bluesource
producer
api
update
"
30105081,"redwood
bluesource
document
api
update
"
30105083,"redwood
bluesource
facet
api
"
30105082,"redwood
bluesource
event
api
update
"
30105078,"redwood
bluesource
contract
maintenance
api
update
"
30105064,"topcoder
project
service
merge
swagger
file
"
30105063,"topcoder
project
service
merge
postman
file
"
30105046,"gitlab
post
review
fix
pipeline
error
"
30103497,"review
activity
deployment
st
sit
"
30104897,"topcoder
project
service
get
timeline
db
"
30104831,"topcoder
project
service
filter
organization
configs
"
30104823,"redwood
bluesource
contact
api
update
"
30104822,"redwood
bluesource
consumer
api
update
"
30104821,"redwood
bluesource
communication
api
update
"
30104819,"redwood
bluesource
audience
api
update
"
